name,path
"ライクボーイズ","likeboys"
"ラ・コビルナ","lacoviluna"
"ラストラス","lustrous"
"RASH","rash"
"ラハイナ東海","lahaina"
"ラブリー","lovely"
"ラマ","lama"
"Real Shodo","realshodo"
"REAL FILE","real"
"ReVIVAL","revival"
"凌友会","ryoyukai"
"ルビー","ruby"
"レアルワークス","realworks"
"REIKA-PLANNING","reika"
"隷嬢寫眞館","reijyo"
"レイディックス","radix"
"RAINBOW PICTURES","rainbow"
"LEO","leo"
"レズれ！","lezule"
"LADIES♀ROOM","ladiesroom"
"LADY×LADY","ladylady"
"ロイヤルワイフ","wife"
"LOTUS","lotus"
"ROCKET","rocket"
"ロッソ","rosso"
"ロデオドライブ","rodeodrive"
"ロリ学園","loligakuen"
