name,path
"Dirty Factory","dirty"
"タイガーマイスターズ","tiger"
"ダイヤモンド映像","diamond"
"大洋図書","taiyo"
"タカラ映像","takara"
"竹工房","take"
"DANDY","dandy"
"耽美会","tanbikai"
"CHANGE","change"
"乳揉み特攻隊","chichimomi"
"着衣エレクト","chakuierect"
"調教倶楽部","ckclub"
"超醜い豚便器","pig"
"つちのこ映像","tsuchinoko"
"つちのこシンデレラ","tsuchicin"
"ツバメの巣","tsubame"
"dm","dm"
"TMA","tma"
"TMクリエイト","tmcreate"
"ティーズ","tees"
"ディープス","deeps"
"ディープノイル","deep"
"ディープラフプロダクションズ","deeplaugh"
"テイクワン","takeone"
"帝国映像社","teikokueizou"
"ディスカバリー","discovery"
"剃髪市場","teihatsu"
"デカ尻ドットコム","dekajiri"
"テキーラネットワーク","tequila"
"Desire","desire"
"デジスタ","digista"
"デジタルアーク","digitalark"
"デジタル・クライス","digitalkreis"
"デジタルグラビア","digigra"
"天国の扉","tengoku"
"天神","tenjin"
"天然パーマ","perm"
"テンパラメンタル","tmental"
"TOY GIRL","toygirl"
"動画ムーチョ","dougam"
"東京音光","tokyoonko"
"東京ティンティン＋","tintin"
"東京覆面倶楽部","tfclub"
"Tokyo Bondage Review","tokyobd"
"東京マニGUN’S","maniguns"
"TOKYO LUV TRENDY","tluvt"
"盗撮愚連隊","gurentai"
"盗髪塾","touhatsu"
"DODER","doder"
"毒蜘蛛","spider"
"Dr.ドジソン","dr"
"ドグマ","dogma"
"ど素人","dosirouto"
"DOC","doc"
"ドラキュラ","dracula"
"ドラゴンイメージ","dragon"
"ドラゴンズゲート","dragonsg"
"トラッドハウス","trad"
"TRANS CLUB","transclub"
"Dream","ddream"
"ドリームステージ","dream"
"ドリームチケット","dreamticket"
"トルバドール","trouba"
"ドロップキック","dropkick"
